H 10 = 72 (2)= 101000
e 10 = 101 (2) = 1100101
l 10 = 108 (2) = 1101100
l 10 = 108 (2) = 1101100
0 10 = 111 (2) = 1101111
(space) 10 = 32 (2) = 100000
g 10 = 103 (2) = 1100111
u 10 = 117 (2) = 1110101
y 10 = 121 (2) = 1111001
s 10 = 115 (2) = 1110011 
 (space) 10 = 32 (2) = 100000
 f 10 = 102 (2) = 1100110
 r 10 = 114 (2) = 1110010
 o 10 = 111 (2) = 1101111
 m 10 = 109 (2) = 1101101
 (space) 10 = 32 (2) = 100000
 t 10 = 116 (2) = 1110100
 h 10 = 104 (2) = 1101000
 e 10 = 101 (2) = 1100101
 (space) 10 = 32 (2) = 100000
 m 10 = 109 (2) = 1101101
 o 10 = 111 (2) = 1110010
 s 10 = 115 (2) = 1110011
 t 10 = 116 (2) = 1110100
 (space) 10 = 32 (2) = 100000
 p 10 = 112 (2) = 1110000
 o 10 = 111 (2) = 1110010
 p 10 = 112 (2) = 1110000
 u 10 = 117 (2) = 1110101
 l 10 = 108 (2) = 1101100
 a 10 = 97 (2) = 1100001
 r 10 = 114 (2) = 1110010
 (space) 10 = 32 (2) = 100000
 p 10 = 112 (2) = 1110000
 r 10 = 114 (2) = 1110010
 o 10 = 111 (2) = 1110010
 g 10 = 103 (2) = 1100111
 r 10 = 114 (2) = 1110010
 a 10 = 97 (2) = 1100001
 m 10 = 109 (2) = 1101101
 m 10 = 109 (2) = 1101101
 i 10 = 105 (2) = 1101001
 n 10 = 110 (2) = 1101110
 g 10 = 103 (2) = 1100111
 (space) 10 = 32 (2) = 100000
 c 10 = 99 (2) = 1100011
 o 10 = 111 (2) = 1110010
 u 10 = 117 (2) = 1110101
 r 10 = 114 (2) = 1110010
 s 10 = 115 (2) = 1110011
 e 10 = 101 (2) = 1100101
 (space) 10 = 32 (2) = 100000
 - 10 = 45 (2) = 101101
 (space) 10 = 32 (2) = 100000
 C 10 = 67 (2) = 1000011
 # 10 = 35 (2) = 100011
 ! 10 = 33 (2) = 100001
